;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
0;masculino;industria;fabrica de ;barrio caicedo;2;9.0;30/04/2018;7800000;microempresarial
1;masculino;comercio;charcuteria;villa_hermosa;3;8.0;5/07/2017;7300000;microempresarial
2;femenino;industria;fabrica de ;picachito;1;6.0;12/10/2018;6000000;microempresarial
3;masculino;servicio;organización y ;robledo;2;7.0;8/09/2016;1500000;microempresarial
4;masculino;comercio;variedades;belen;2;16.0;20/06/2017;7300000;microempresarial
5;femenino;industria;fabrica de ;robledo;3;7.0;17/02/2017;5500000;microempresarial
6;masculino;comercio;papeleria;barrio caicedo;2;9.0;24/10/2018;7800000;microempresarial
7;femenino;comercio;tienda;aranjuez;3;4.0;26/10/2018;2500000;microempresarial
8;MASCULINO;comercio;variedades;robledo;2;7.0;4/09/2017;7300000;microempresarial
9;femenino;servicio;cerrajeria;villa hermosa;3;8.0;21/09/2017;7300000;Microempresarial
10;femenino;comercio;deposito de ;barrio caicedo;1;9.0;10/08/2018;5000000;microempresarial
11;Femenino;comercio;comidas rapidas;robledo;3;7.0;22/12/2016;1500000;microempresarial
12;femenino;servicio;almacen de ropa en ;picachito;2;6.0;18/07/2017;7000000;microempresarial
13;femenino;industria;fabrica de ;robledo;2;7.0;3/03/2017;7000000;microempresarial
14;masculino;comercio;taller de mecanica;el salvador;3;9.0;29/08/2018;7800000;microempresarial
15;femenino;industria;panaderia;robledo;2;7.0;25/08/2017;7370000;microempresarial
16;femenino;industria;fabrica de ;picacho;1;6.0;3/10/2018;5250000;microempresarial
17;femenino;comercio;comidas rapidas;picacho;01;6.0;14/12/2018;7000000;microempresarial
18;femenino;comercio;tienda;belen;2;16.0;1/08/2016;5000000;Microempresarial
19;femenino;comercio;comidas rapidas;belencito;2;13.0;19/04/2018;1500000;microempresarial
20;masculino;comercio;restaurante;aranjuez;2;4.0;27/06/2018;1500000;microempresarial
21;femenino;comercio;variedades;belen;03;16.0;13/03/2018;7800000;microempresarial
22;masculino;comercio;distribuidora de ;manrique oriental;02;3.0;2018/09/21;7800000;microempresarial
23;MASCULINO;servicio;variedades;belen;3;16.0;4/11/2016;28000000;empresarial ed. 
